,accuracy,f1,roc_auc
amoxicillin/clavulanic acid,0.8333333333333334,0.8,0.8333333333333333
ampicillin,0.5,0.5714285714285714,0.7
cefotaxime,0.5,0.4,0.75
ceftazidime,0.6666666666666666,0.5,0.8333333333333333
cefuroxime,0.8333333333333334,0.8,0.8333333333333333
ciprofloxacin,0.8333333333333334,0.8,0.8333333333333333
gentamicin,0.8333333333333334,0.6666666666666666,0.6875
piperacillin/tazobactam,0.8333333333333334,0.6666666666666666,1.0
trimethoprim/sulfamethoxazole,0.6666666666666666,0.6666666666666666,0.75
macro_avg,0.7222222222222223,0.6523809523809524,0.8023148148148148
