,accuracy,f1,roc_auc
amoxicillin/clavulanic acid,0.6840317100792752,0.515625,0.8732380668041833
ampicillin,0.7757644394110985,0.8062622309197651,0.8630822224043221
cefotaxime,0.8533408833522084,0.594679186228482,0.8746452769589511
ceftazidime,0.7831257078142695,0.44250363901018924,0.8529110374025834
cefuroxime,0.7989807474518686,0.3238095238095238,0.7912119310383534
ciprofloxacin,0.7429218573046432,0.5522682445759369,0.8231792664104349
gentamicin,0.7701019252548131,0.39221556886227543,0.8066714555086647
piperacillin/tazobactam,0.8029445073612684,0.2897959183673469,0.8666236449679762
trimethoprim/sulfamethoxazole,0.6710079275198187,0.4934612031386225,0.8541463105706945
macro_avg,0.7646910783943626,0.4900689461013491,0.8450788013406848
