,accuracy,f1,roc_auc
amoxicillin/clavulanic acid,0.8657984144960362,0.4316546762589928,0.8688064257104666
ampicillin,0.766704416761042,0.8113553113553114,0.8483005086150881
cefotaxime,0.9122310305775765,0.6015424164524421,0.8918171262038661
ceftazidime,0.9218573046432617,0.5766871165644172,0.8860626296040288
cefuroxime,0.9445073612684032,0.4431818181818182,0.8733038614218693
ciprofloxacin,0.8556058890147226,0.5826513911620295,0.8475375457272633
gentamicin,0.9060022650056625,0.4028776978417266,0.8104170660717709
piperacillin/tazobactam,0.9688561721404304,0.5378151260504201,0.8780923367823941
trimethoprim/sulfamethoxazole,0.8822197055492639,0.5536480686695279,0.88736671038376
macro_avg,0.8915313954951554,0.5490459580596317,0.8657449122800565
