,accuracy,f1,roc_auc
amoxicillin/clavulanic acid,0.6919592298980748,0.5219683655536028,0.88502198458365
ampicillin,0.7661381653454133,0.7919395465994962,0.8655470399905691
cefotaxime,0.8533408833522084,0.594679186228482,0.8966656034141406
ceftazidime,0.8238958097395244,0.4926590538336052,0.883974799773481
cefuroxime,0.6670441676104191,0.2613065326633166,0.8743552065634997
ciprofloxacin,0.8272933182332955,0.6415981198589894,0.8617369790878552
gentamicin,0.7836919592298981,0.39556962025316456,0.8283792762862531
piperacillin/tazobactam,0.7044167610419027,0.25,0.8855501626947336
trimethoprim/sulfamethoxazole,0.6857304643261608,0.5135845749342682,0.8792046647124814
macro_avg,0.7559456398640996,0.4959227777694361,0.8733817463451848
